column_name,required,alternate_name
STUDYIDN,TRUE,
ID,TRUE,
USUBJID,TRUE,
TIME,TRUE,
NOMTIME,TRUE,
TIMEUNIT,TRUE,
AMT,TRUE,
LIDV,TRUE,
YTYPE,TRUE,
ADM,TRUE,
CMT,TRUE,
NAME,TRUE,
EVENTU,TRUE,
MDV,TRUE,
CENS,TRUE,
EVID,TRUE,
IGNOREN,TRUE,
IGNORE,TRUE,
AGEB,TRUE,
AGE0,TRUE,
WEIGHTB,TRUE,
WEIGHT0,TRUE,
HEIGHTB,TRUE,
HEIGHT0,TRUE,
SEXN,TRUE,
SEX,TRUE,
RACEN,TRUE,
RACE,TRUE,
ETHNICN,TRUE,
ETHNIC,TRUE,
POPTYPEN,TRUE,
POPTYPE,TRUE,
TRTN,TRUE,
TRT,TRUE,
TADxxx,TRUE,TAD
LDOSxxx,TRUE,LDOS
TIMExxx,FALSE,TIME
COMP,FALSE,
ROWNUM,FALSE,
SITEID,FALSE,
SITEIDN,FALSE,
STUDYID,FALSE,
ADTM,FALSE,
ADY,FALSE,
TSFR,FALSE,
TIMEPPE,FALSE,
PROFDAY,FALSE,
PROFTIME,FALSE,
VISIT,FALSE,
VISNAME,FALSE,
CYCLE,FALSE,
DURATION,FALSE,
LIDVC,FALSE,
LNDV,FALSE,
TINF,FALSE,
RATE,FALSE,
LLOQ,FALSE,
ULOQ,FALSE,
LLIM,FALSE,
ULIM,FALSE,
ROUTExxx,FALSE,ROUTE
FORMxxx,FALSE,FORM
TDOSxxx,FALSE,TDOS
TDOSUxxx,FALSE,TDOSU
FREQxxx,FALSE,FREQ
COUNTRY,FALSE,
BMIB,FALSE,
BMI0,FALSE,
BSAGGB,FALSE,
BSAGG0,FALSE,
GFRMDRDB,FALSE,
GFRMDRD0,FALSE,
EPOCH,FALSE,
EXTENS,FALSE,
OCC,FALSE,
GRADE,FALSE,
AESEV,FALSE,
AESER,FALSE,
AEREL,FALSE,
WITHFOOD,FALSE,
SS,FALSE,
ADDL,FALSE,
II,FALSE,
